semester,total,Liberal Art,Science,Social Science,Medicine,Engineering,Bio,Management,Public Sanitary,EE,Law,Life Science
961,387,128,27,6,18,53,56,45,8,20,13,13
962,398,136,29,8,16,52,54,49,7,24,15,8
971,451,130,31,10,21,61,71,60,9,28,10,20
972,421,145,21,11,19,49,64,57,6,23,7,19
981,483,163,33,15,20,58,73,68,6,23,10,14
982,456,162,25,11,21,47,64,79,8,22,2,15
991,457,132,36,12,22,52,71,74,7,23,14,14
992,409,131,25,10,25,46,65,59,5,21,10,12
1001,459,130,37,17,33,54,60,65,8,28,12,15
1002,428,131,33,13,18,46,65,63,9,22,13,15
1011,466,137,40,17,27,57,61,72,5,28,6,16
1012,496,138,42,19,38,59,74,69,7,26,12,12
1021,445,122,32,16,27,49,71,68,11,28,10,11
1022,514,123,41,19,42,57,66,69,8,56,14,19
1031,526,113,47,24,36,53,73,77,8,61,15,19
1032,516,109,50,20,49,53,74,70,9,40,20,22
1041,476,109,43,24,25,53,71,55,12,37,19,12
1042,517,120,41,21,39,59,76,51,13,33,20,24
